id,storm,year,month,day,time,start_lat,start_lon,stop_lat,stop_on,istor,cwa,warning,hasTDS,F-EF-Rating
615666,AH2017.HGX,2017,8,25,2114,28.796,-95.702,28.796,-95.702,1,HGX,-1,1,1
615668,AH2017.HGX,2017,8,25,2319,29.183,-95.595,29.183,-95.595,1,HGX,-2,1,0
615669,AH2017.HGX,2017,8,26,244,29.223,-95.367,29.223,-95.367,1,HGX,-1,1,0
615671,AH2017.HGX,2017,8,26,550,29.45,-95.47,29.45,-95.47,1,HGX,-2,1,0
615673,AH2017.HGX,2017,8,26,558,29.484,-95.522,29.484,-95.522,1,HGX,-2,1,1
615681,AH2017.HGX,2017,8,26,2052,29.91,-95.7,29.91,-95.7,1,HGX,-2,1,1
615685,AH2017.HGX,2017,8,27,125,29.63,-95.55,29.63,-95.55,1,HGX,-2,1,1
615695,AH2017.HGX,2017,8,29,2212,30.2276,-92.5776,30.2276,-92.5776,1,LCH,-2,1,2
615699,AH2017.HGX,2017,8,30,1504,31.1606,-89.5365,31.1606,-89.5365,1,LIX,-2,1,1
615701,AH2017.HGX,2017,8,30,1631,30.3638,-88.769,30.3638,-88.769,1,MOB,-1,1,0
615707,AH2017.HGX,2017,8,31,1828,34.4294,-88.5135,34.4294,-88.5135,1,GWX,-2,1,1
615710,AH2017.HGX,2017,8,31,2043,33.3793,-88.0344,33.3793,-88.0344,1,GWX,-2,1,2
615714,AH2017.HGX,2017,9,1,0,32.9173,-87.3345,32.9173,-87.3345,1,BMX,-2,1,1
615715,AH2017.HGX,2017,9,1,24,33.1008,-87.1718,33.1008,-87.1718,1,BMX,-2,1,1
615716,AH2017.HGX,2017,9,1,39,33.196,-87.1277,33.196,-87.1277,1,BMX,-2,1,0
615717,AH2017.HGX,2017,9,1,158,34.1522,-86.6058,34.1522,-86.6058,1,HTX,-2,1,2
615718,AH2017.HGX,2017,9,1,421,36.2073,-86.854,36.2073,-86.854,1,OHX,-1,1,1
